Folio,Cosecha,Capital,Perfil,Ciudad Atria,Plazo,Antiguedad Unidad,Laboratorios,Notificaciones,Atria Plus,MMX 6,MMX 12,MMX 24,Score generico de bancos,Cluster Mora,Cluster Experiencia,Score Buro,% Utilizacion Revolvente,Endeudamiento,MOB,pct,tipo_mora,mora_amount,mora_ever,folio_mora_id,folio_mora_mob_id
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,11,4.883467207555179,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|11
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,12,0.7521860595699614,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|12
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,13,17.690859519592415,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|13
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,14,10.841742314910011,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|14
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,15,14.380634506724432,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|15
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,16,9.660293273272327,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|16
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,17,3.652496925301083,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|17
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,18,14.600666111731563,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|18
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,19,1.5298720277239486,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|19
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,20,3.8659720263620168,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|20
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,21,10.655158263537945,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|21
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,22,17.629434737751836,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|22
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,23,10.83439260209984,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|23
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,24,15.500074572198157,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|24
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,25,3.3394180043914568,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|25
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,26,5.756623700075149,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|26
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,27,0.6260438402025725,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|27
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,28,8.78127425231102,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|28
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,29,14.293542686496256,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|29
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,30,19.811419012569043,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|30
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,31,6.258076030100288,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|31
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,32,7.251808544120046,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|32
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,33,9.68196381770009,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|33
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,34,11.87684455020909,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|34
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,35,19.328996312314047,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|35
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,36,0.7686621761531165,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|36
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,37,0.8101540734878432,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|37
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,38,3.4590588630436336,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|38
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,39,9.52999896430473,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|39
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,40,14.706132519291593,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|40
1,2022-06-01,1112783,E,Chihuahua,12,>=8,W2,GG 3,PE,MOP2,MOP5+,MOP4,773,BGI3+,Exp4,>663,>=0.621663,NULL,41,11.0934984364042,BGI3+,264094.0,1,1|BGI3+,1|BGI3+|41
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,1,15.129584268086962,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|1
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,2,11.453587135664328,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|2
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,3,18.429220721450182,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|3
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,4,2.3002315189355627,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|4
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,5,2.333206270787991,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|5
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,6,2.132243335888784,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|6
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,7,3.3160892842418765,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|7
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,8,16.07289305737096,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|8
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,9,6.767284381271881,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|9
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,10,13.387914030947144,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|10
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,11,8.350934100151765,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|11
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,12,3.7461125330513534,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|12
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,13,9.9433265208414,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|13
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,14,9.66875141776473,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|14
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,15,11.80482009476668,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|15
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,16,1.8554861882989981,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|16
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,17,14.481866144956285,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|17
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,18,6.76201034385892,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|18
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,19,16.411239951976935,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|19
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,20,8.765050305243264,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|20
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,21,10.592865431553127,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|21
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,22,13.989265580977685,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|22
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,23,10.260000970353637,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|23
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,24,17.700306195422463,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|24
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,25,7.163642676943301,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|25
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,26,11.905894866587186,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|26
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,27,14.135586288425904,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|27
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,28,18.892822874011614,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|28
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,29,19.688845771454375,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|29
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,30,5.293160946281397,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|30
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,31,18.039702109569284,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|31
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,32,7.372620599098534,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|32
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,33,1.0130792905278008,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|33
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,34,10.114376010496358,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|34
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,35,1.391924282576602,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|35
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,36,4.716210629775695,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|36
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,37,7.633237965644621,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|37
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,38,1.377728728661951,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|38
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,39,18.492346130640435,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|39
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,40,0.3295842686299566,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|40
2,2024-09-01,331442,C,Chihuahua,36,4 a <6,Z01,PE A,Score,MOP1,MOP2,MOP3,428,BGI3+,Exp3,613 a <663,>=0.621663,>=0.305,41,5.892472538279263,BGI3+,163559.0,1,2|BGI3+,2|BGI3+|41
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,1,1.4519160510536921,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|1
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,2,17.804577513554907,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|2
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,3,0.9455511233704095,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|3
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,4,15.377082700593474,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|4
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,5,8.581237906786207,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|5
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,6,9.913247600536382,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|6
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,7,4.016162756584006,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|7
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,8,0.6531718579747281,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|8
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,9,9.635564169335842,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|9
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,10,16.645034902312922,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|10
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,11,11.942797018152717,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|11
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,12,5.856403675644164,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|12
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,13,4.0190902271543045,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|13
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,14,6.527251422321932,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|14
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,15,14.78760225096848,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|15
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,16,7.73530279132445,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|16
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,17,0.375351490252096,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|17
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,18,2.248288106261447,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|18
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,19,16.527009212999552,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|19
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,20,6.4341892898343485,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|20
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,21,9.124598045288701,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|21
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,22,16.080062968303228,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|22
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,23,6.402228169585422,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|23
3,2024-06-01,961934,D,Pachuca,12,4 a <6,Normal,Normal,Normal,MOP1,MOP4,MOP4,785,BGI3+,Exp4,556 a <613,>=0 a <0.068,>=0.019 a <0.067,24,6.374656452554619,BGI3+,562683.0,1,3|BGI3+,3|BGI3+|24
