folio,MOB,cosecha,Monto Fondeado,Tipo de Castigo,Estatus Legal,BGI2+,BGI3+,BGI4+,BGI5+,CAST_VAL,BGI2+_CONTEO_EVER,BGI3+_CONTEO_EVER,BGI4+_CONTEO_EVER,BGI5+_CONTEO_EVER,CAST_CONTEO,Perfil,Ciudad Atria,Plazo,Antiguedad Unidad,Laboratorios,Notificaciones,Atria Plus,MMX 6,MMX 12,MMX 24,Score generico de bancos,Cluster Mora,Cluster Experiencia,Score Buro,% Utilizacion Revolvente,Endeudamiento
111120220600071,11,2022-06,107677.16,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,E,Celaja,36,<4,W2,GG 1,GG,MOP4,MOP2,MOP2,804,C0 - Sin mora,Exp3,556 a <613,>=0.068 a <0.305,>=0.067 a <0.171
111120220600071,12,2022-06,107677.16,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,E,Celaja,36,<4,W2,GG 1,GG,MOP4,MOP2,MOP2,804,C0 - Sin mora,Exp3,556 a <613,>=0.068 a <0.305,>=0.067 a <0.171
111120220600071,13,2022-06,107677.16,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,E,Celaja,36,<4,W2,GG 1,GG,MOP4,MOP2,MOP2,804,C0 - Sin mora,Exp3,556 a <613,>=0.068 a <0.305,>=0.067 a <0.171
111120220600071,14,2022-06,107677.16,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,E,Celaja,36,<4,W2,GG 1,GG,MOP4,MOP2,MOP2,804,C0 - Sin mora,Exp3,556 a <613,>=0.068 a <0.305,>=0.067 a <0.171
111120220600071,15,2022-06,107677.16,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,E,Celaja,36,<4,W2,GG 1,GG,MOP4,MOP2,MOP2,804,C0 - Sin mora,Exp3,556 a <613,>=0.068 a <0.305,>=0.067 a <0.171
111120220600071,16,2022-06,107677.16,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,E,Celaja,36,<4,W2,GG 1,GG,MOP4,MOP2,MOP2,804,C0 - Sin mora,Exp3,556 a <613,>=0.068 a <0.305,>=0.067 a <0.171
111120220600071,17,2022-06,107677.16,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,E,Celaja,36,<4,W2,GG 1,GG,MOP4,MOP2,MOP2,804,C0 - Sin mora,Exp3,556 a <613,>=0.068 a <0.305,>=0.067 a <0.171
111120220600071,18,2022-06,107677.16,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,E,Celaja,36,<4,W2,GG 1,GG,MOP4,MOP2,MOP2,804,C0 - Sin mora,Exp3,556 a <613,>=0.068 a <0.305,>=0.067 a <0.171
111120220600071,19,2022-06,107677.16,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,E,Celaja,36,<4,W2,GG 1,GG,MOP4,MOP2,MOP2,804,C0 - Sin mora,Exp3,556 a <613,>=0.068 a <0.305,>=0.067 a <0.171
111120220600071,20,2022-06,107677.16,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,E,Celaja,36,<4,W2,GG 1,GG,MOP4,MOP2,MOP2,804,C0 - Sin mora,Exp3,556 a <613,>=0.068 a <0.305,>=0.067 a <0.171
